Name,Size,Type,Align.,AC,HP,Speeds,STR,DEX,CON,INT,WIS,CHA,Sav..Throws,Skills,WRI,Senses,Languages,CR,Additional,Font,Additional.Info,Author,realm,has_fly_speed,has_swim_speed
Displacer Beast,Large,Monstrosity,LE,13,85,40,18,15,16,6,12,8,None,None,None,Darkvision 60,None,3,Avoidance;Displacement,Monster Manual,NA,Wizards of the Coast,Other,0,0
Doppelganger,Medium,Monstrosity,N,14,52,30,11,18,14,11,12,14,None,Deception;Insight,Charmedimmu,Darkvision 60,Common,3,Shapechanger;Ambusher;Surprise Attack,Monster Manual,NA,Wizards of the Coast,Other,0,0
Dracolich Template,TEMP,Undead,LE,TEMP,TEMP,TEMP,TEMP,TEMP,TEMP,TEMP,TEMP,TEMP,TEMP,TEMP,TEMP;necroticres;poisonimmu;charmedimmu;frightenedimmu;paralyzedimmu;poisonedimmu;exhaustionimmu,TEMP,TEMP,TEMP,TEMP;Magic Resistance,Monster Manual,NA,Wizards of the Coast,Other,0,0
Dragon;Chromatic;Black;Adult,Huge,Dragon,CE,19,195,40;80 fly;swim 40,23,14,21,14,13,17,DEX;CON;WIS;CHA,Perception;Stealth,Acidimmu,Blindsight 60;darkvision 120,Common;Draconic,14,Amphibious;Legendary Resistance;Legendary;Lair,Monster Manual,NA,Wizards of the Coast,Other,1,1
Dragon;Chromatic;Black;Ancient,Gargantuan,Dragon,CE,22,367,40;80 fly;swim 40,27,14,25,16,15,19,DEX;CON;WIS;CHA,Perception;Stealth,Acidimmu,Blindsight 60;darkvision 120,Common;Draconic,21,Amphibious;Legendary Resistance;Legendary;Lair,Monster Manual,NA,Wizards of the Coast,Other,1,1
Dragon;Chromatic;Black;Wyrmling,Medium,Dragon,CE,17,33,30;fly 60;30 swim,15,14,13,10,11,13,DEX;CON;WIS;CHA,Perception;Stealth,Acidimmu,Blindsight 30;darkvision 120,Common;Draconic,2,Amphibious,Monster Manual,NA,Wizards of the Coast,Other,1,1
Dragon;Chromatic;Black;Young,Large,Dragon,CE,18,127,40;80 fly;swim 40,19,14,17,12,11,15,DEX;CON;WIS;CHA,Perception;Stealth,Acidimmu,Blindsight 10;darkvision 60,Draconic,7,Amphibious,Monster Manual,NA,Wizards of the Coast,Other,1,1
Dragon;Chromatic;Blue;Adult,Huge,Dragon,LE,19,225,40;40 burrow;80 fly,25,10,23,16,15,19,DEX;CON;WIS;CHA,Perception;Stealth,Lightningimmu,Blindsight 60;darkvision 120,Common;Draconic,16,Legendary;Legendary Resistance;Lair,Monster Manual,NA,Wizards of the Coast,Other,1,0
Dragon;Chromatic;Blue;Ancient,Gargantuan,Dragon,LE,22,481,40;30 burrow;80 fly,29,10,27,18,17,21,DEX;CON;WIS;CHA,Perception;Stealth,Lightningimmu,Blindsight 60;darkvision 120,Common;Draconic,23,Legendary;Legendary Resistance;Lair,Monster Manual,NA,Wizards of the Coast,Other,1,0
Dragon;Chromatic;Blue;Wyrmling,Medium,Dragon,LE,17,52,30;15 burrow;fly 60,17,10,15,12,11,15,DEX;CON;WIS;CHA,Perception;Stealth,Lightningimmu,Blindsight 30;darkvision 120,Common;Draconic,3,None,Monster Manual,NA,Wizards of the Coast,Other,1,0
Dragon;Chromatic;Blue;Young,Large,Dragon,LE,18,152,40;20 burrow;80 fly,21,10,19,14,13,17,DEX;CON;WIS;CHA,Perception;Stealth,Lightningimmu,Blindsight 10;darkvision 60,Draconic,9,None,Monster Manual,NA,Wizards of the Coast,Other,1,0
Dragon;Chromatic;Green;Adult,Huge,Dragon,LE,19,207,40;80 fly;swim 40,23,12,21,18,15,17,DEX;CON;WIS;CHA,Deception;Insight;Perception;Persuasion;Stealth,Poisonimmu;poisonedimmu,Blindsight 60;darkvision 120,Common;Draconic,15,Amphibious;Legendary Resistance;Legendary;Lair,Monster Manual,NA,Wizards of the Coast,Other,1,1
Dragon;Chromatic;Green;Ancient,Gargantuan,Dragon,LE,21,385,40;80 fly;swim 40,27,12,25,20,17,19,DEX;CON;WIS;CHA,Deception;Insight;Perception;Persuasion;Stealth,Poisonimmu;poisonedimmu,Blindsight 60;darkvision 120,Common;Draconic,22,Amphibious;Legendary Resistance;Legendary;Lair,Monster Manual,NA,Wizards of the Coast,Other,1,1
Dragon;Chromatic;Green;Wyrmling,Medium,Dragon,LE,17,38,30;fly 60;swim 30,15,12,13,14,11,13,DEX;CON;WIS;CHA,Perception;Stealth,Poisonimmu;poisonedimmu,Blindsight 30;darkvision 120,Draconic,2,Amphibious,Monster Manual,NA,Wizards of the Coast,Other,1,1
Dragon;Chromatic;Green;Young,Large,Dragon,LE,18,136,40;fly 80;swim 40,19,12,17,16,13,15,DEX;CON;WIS;CHA,Deception;Perception;Stealth,Poisonimmu;poisonedimmu,Blindsight 60;darkvision 120,Common;Draconic,8,Amphibious,Monster Manual,NA,Wizards of the Coast,Other,1,1
Dragon;Chromatic;Red;Adult,Huge,Dragon,CE,19,256,40;climb 40;fly 80,27,10,25,16,13,21,DEX;CON;WIS;CHA,Perception;Stealth,Fireimmu,Blindsight 60;darkvision 120,Common;Draconic,17,Legendary Resistance;Legendary;Lair,Monster Manual,NA,Wizards of the Coast,Other,1,0
Dragon;Chromatic;Red;Ancient,Gargantuan,Dragon,CE,22,546,40;climb 40;fly 80,30,10,29,18,15,23,DEX;CON;WIS;CHA,Perception;Stealth,Fireimmu,Blindsight 60;darkvision 120,Common;Draconic,24,Legendary Resistance;Legendary;Lair,Monster Manual,NA,Wizards of the Coast,Other,1,0
Dragon;Chromatic;Red;Wyrmling,Medium,Dragon,CE,17,75,40;climb 40;fly 80,19,10,17,12,11,15,DEX;CON;WIS;CHA,Perception;Stealth,Fireimmu,Blindsight 30;darkvision 120,Draconic,4,None,Monster Manual,NA,Wizards of the Coast,Other,1,0
Dragon;Chromatic;Red;Young,Large,Dragon,CE,18,178,30;climb 30;fly 60,23,10,21,14,11,19,DEX;CON;WIS;CHA,Perception;Stealth,Fireimmu,Blindsight 10;darkvision 60,Common;Draconic,10,None,Monster Manual,NA,Wizards of the Coast,Other,1,0
Dragon;Chromatic;White;Adult,Huge,Dragon,CE,18,200,40;burrow 30;fly 80; swim 40,22,10,22,8,12,12,DEX;CON;WIS;CHA,Perception;Stealth,Coldimmu,Blindsight 60;darkvision 120,Common;Draconic,13,Ice Walk;Legendary Resistance;Legendary;Lair,Monster Manual,NA,Wizards of the Coast,Other,1,1
Dragon;Chromatic;White;Ancient,Gargantuan,Dragon,CE,20,333,40;burrow 40;fly 80;swim 40,26,10,26,10,13,14,DEX;CON;WIS;CHA,Perception;Stealth,Coldimmu,Blindsight 60;darkvision 120,Common;Draconic,20,Ice Walk;Legendary Resistance;Legendary;Lair,Monster Manual,NA,Wizards of the Coast,Other,1,1
Dragon;Chromatic;White;Wyrmling,Medium,Dragon,CE,16,32,30;burrow 15;fly 60;swim 30,14,10,14,5,10,11,DEX;CON;WIS;CHA,Perception;Stealth,Coldimmu,Blindsight 10;darkvision 60,Draconic,2,Ice Walk,Monster Manual,NA,Wizards of the Coast,Other,1,1
Dragon;Chromatic;White;Young,Large,Dragon,CE,14,133,40;burrow 20;fly 80;swim 40,18,10,18,6,11,12,DEX;CON;WIS;CHA,Perception;Stealth,Coldimmu,Blindsight 30;darkvision 120,Common;Draconic,6,Ice Walk,Monster Manual,NA,Wizards of the Coast,Other,1,1
Dragon;Metallic;Brass;Adult,Huge,Dragon,CG,18,172,40;burrow 30;fly 80,23,10,21,14,13,17,DEX;CON;WIS;CHA,History;Perception;Persuasion;Stealth,Fireimmu,"Blindsight 60;darkvision 120,",Common;Draconic,13,Legendary;Legendary Resistance;Lair,Monster Manual,NA,Wizards of the Coast,Other,1,0
Dragon;Metallic;Brass;Ancient,Gargantuan,Dragon,CG,20,297,40;burrow 40;fly 80,27,10,25,16,15,19,DEX;CON;WIS;CHA,History;Perception;Persuasion;Stealth,Fireimmu,"Blindsight 60;darkvision 120,",Common;Draconic,20,Legendary;Legendary Resistance;Lair,Monster Manual,NA,Wizards of the Coast,Other,1,0
Dragon;Metallic;Brass;Wyrmling,Medium,Dragon,CG,16,16,30;burrow 15;fly 60,15,10,13,10,11,13,DEX;CON;WIS;CHA,Perception;Stealth,Fireimmu,Blindsight 10;Darkvision 60,Draconic,1,None,Monster Manual,NA,Wizards of the Coast,Other,1,0
Dragon;Metallic;Brass;Young,Large,Dragon,CG,17,110,40;burrow 20;fly 80,19,10,17,12,11,15,DEX;CON;WIS;CHA,Perception;Persuasion;Stealth,Fireimmu,Blindsight 30;Darkvision 120,Common;Draconic,6,None,Monster Manual,NA,Wizards of the Coast,Other,1,0
Dragon;Metallic;Bronze;Adult,Huge,Dragon,LG,19,212,40;80 fly;swim 40,25,10,23,16,15,19,DEX;CON;WIS;CHA,Insight;Perception;Stealth,Lightningimmu,Blindsight 60;darkvision 120,Common;Draconic,15,Amphibious;Legendary Resistance;Legendary;Lair,Monster Manual,NA,Wizards of the Coast,Other,1,1
Dragon;Metallic;Bronze;Ancient,Gargantuan,Dragon,LG,22,444,40;fly 80;swim 40,29,10,27,18,17,21,DEX;CON;WIS;CHA,Insight;Perception;Stealth,Lightningimmu,Blindsight 60;darkvision 120,Common;Draconic,22,Amphibious;Legendary Resistance;Legendary;Lair,Monster Manual,NA,Wizards of the Coast,Other,1,1
Dragon;Metallic;Bronze;Wyrmling,Medium,Dragon,LG,17,32,30;fly 60;swim 30,17,10,15,12,11,15,DEX;CON;WIS;CHA,Perception;Stealth,Lightningimmu,Blindsight 10;darkvision 60,Draconic,2,Amphibious,Monster Manual,NA,Wizards of the Coast,Other,1,1
Dragon;Metallic;Bronze;Young,Large,Dragon,LG,18,142,40;fly 80;swim 40,21,10,19,14,13,17,DEX;CON;WIS;CHA,Insight;Perception;Stealth,Lightningimmu,Blindsight 30;Darkvision 120,Common;Draconic,8,Amphibious,Monster Manual,NA,Wizards of the Coast,Other,1,1
Dragon;Metallic;Copper;Adult,Huge,Dragon,CG,18,184,40;climb 40;fly 80,23,12,21,18,15,17,DEX;CON;WIS;CHA,Deception;Perception;Stealth,Acidimmu,Blindsight 60;darkvision 120,Common;Draconic,14,Legendary Resistance;Legendary;Lair,Monster Manual,NA,Wizards of the Coast,Other,1,0
Dragon;Metallic;Copper;Ancient,Gargantuan,Dragon,CG,21,350,40;climb 40;fly 80,27,12,25,20,17,19,DEX;CON;WIS;CHA,Deception;Perception;Stealth,Acidimmu,Blindsight 60;darkvision 120,Common;Draconic,21,Legendary Resistance;Legendary;Lair,Monster Manual,NA,Wizards of the Coast,Other,1,0
Dragon;Metallic;Copper;Wyrmling,Medium,Dragon,CG,16,22,30;climb 30;fly 60,15,12,13,14,11,13,DEX;CON;WIS;CHA,Perception;Stealth,Acidimmu,Blindsight 10;darkvision 60,Draconic,1,None,Monster Manual,NA,Wizards of the Coast,Other,1,0
Dragon;Metallic;Copper;Young,Large,Dragon,CG,17,119,40;climb 40;fly 80,19,12,17,16,13,15,DEX;CON;WIS;CHA,Deception;Perception;Stealth,Acidimmu,Blindsight 30;darkvision 120,Common;Draconic,7,None,Monster Manual,NA,Wizards of the Coast,Other,1,0
Dragon;Metallic;Gold;Adult,Huge,Dragon,LG,19,256,40;fly 80;swim 40,27,14,25,16,15,24,DEX;CON;WIS;CHA,Insight;Perception;Persuasion;Stealth,Fireimmu,Blindsight 60;darkvision 120,Common;Draconic,17,Amphibious;Legendary Resistance;Legendary;Lair,Monster Manual,NA,Wizards of the Coast,Other,1,1
Dragon;Metallic;Gold;Ancient,Gargantuan,Dragon,LG,22,546,40;fly 80;swim 40,30,14,29,18,17,28,DEX;CON;WIS;CHA,Insight;Perception;Persuasion;Stealth,Fireimmu,Blindsight 60;darkvision 120,Common;Draconic,24,Amphibious;Legendary Resistance;Legendary;Lair,Monster Manual,NA,Wizards of the Coast,Other,1,1
Dragon;Metallic;Gold;Wyrmling,Medium,Dragon,LG,17,60,30;fly 60;swim 30,19,14,17,14,11,16,DEX;CON;WIS;CHA,Perception;Stealth,Fireimmu,Blindsight 10;darkvision 60,Draconic,3,Amphibious,Monster Manual,NA,Wizards of the Coast,Other,1,1
Dragon;Metallic;Gold;Young,Large,Dragon,LG,18,178,40;fly 80;swim 40,23,14,21,16,13,20,DEX;CON;WIS;CHA,Insight;Perception;Persuasion;Stealth,Fireimmu,Blindsight 30;darkvision 120,Common;Draconic,10,Amphibious,Monster Manual,NA,Wizards of the Coast,Other,1,1
Dragon;Metallic;Silver;Adult,Huge,Dragon,LG,19,243,40;fly 80,27,10,25,16,13,21,DEX;CON;WIS;CHA,Arcana;History;Perception;Stealth,Coldimmu,Blindsight 60;darkvision 120,Common;Draconic,16,Legendary Resistance;Legendary;Lair,Monster Manual,NA,Wizards of the Coast,Other,1,0
Dragon;Metallic;Silver;Ancient,Gargantuan,Dragon,LG,22,487,40;fly 80,30,10,29,18,15,23,DEX;CON;WIS;CHA,Arcana;History;Perception;Stealth,Coldimmu,Blindsight 60;darkvision 120,Common;Draconic,23,Legendary Resistance;Legendary;Lair,Monster Manual,NA,Wizards of the Coast,Other,1,0
Dragon;Metallic;Silver;Wyrmling,Medium,Dragon,LG,17,45,30;fly 60,19,10,17,12,11,15,DEX;CON;WIS;CHA,Perception;Stealth,Coldimmu,Blindsight 10;darkvision 60,Draconic,2,None,Monster Manual,NA,Wizards of the Coast,Other,1,0
Dragon;Metallic;Silver;Young,Large,Dragon,LG,18,168,40;fly 80,23,10,21,14,11,19,DEX;CON;WIS;CHA,Arcana;History;Perception;Stealth,Coldimmu,Blindsight 30;darkvision 120,Common;Draconic,9,None,Monster Manual,NA,Wizards of the Coast,Other,1,0
Dragon;Turtle,Gargantuan,Dragon,N,20,341,20;swim 40,25,10,20,10,12,12,DEX;CON;WIS,None,Fireres,Darkvision 120,Aquan;Draconic,17,Amphibious,Monster Manual,NA,Wizards of the Coast,Other,0,1
Dragonclaw,Medium,Humanoid (Human),NE,14,16,30,9,16,13,11,10,12,WIS,Deception;Stealth,None,Normal,Common;Draconic,1,Dragon Fanatic;Fanatical Advantage;Pack Tactics,Hoard of the Dragon Queen,NA,Wizards of the Coast,Other,0,0
Dragonfang,Medium,Humanoid (Human),NE,15,78,30,11,16,14,12,12,14,WIS,Deception;Stealth,Acidres;coldres;fireres;lightningres;poisonres,Normal,Common;Draconic;Infernal,5,Dragon Fanatic;Fanatic Advantage;Limited Flight;Pack Tactics,Rise of Tiamat,NA,Wizards of the Coast,Other,0,0
Dragonsoul,Medium,Humanoid (Human),NE,16,110,30,11,18,14,13,12,16,WIS,Deception;Stealth,Acidres;coldres;fireres;lightningres;poisonres,Normal,Common;Draconic;Infernal,7,Dragon Fanatic;Fanatic Advantage;Limited Flight;Pack Tactics,Rise of Tiamat,NA,Wizards of the Coast,Other,0,0
Dragonwing,Medium,Humanoid (Human),NE,14,32,30,9,16,13,11,10,12,WIS,Deception;Stealth,None,Normal,Common;Draconic,2,Dragon Fanatic;Fanatical Advantage;Pack Tactics,Hoard of the Dragon Queen,NA,Wizards of the Coast,Other,0,0
Dread Warrior,Medium,Undead,NE,18,37,30,15,11,16,10,12,10,WIS,Athletics;Perception,Poisonimmu;exhaustionimmu;poisonedimmu,Darkvision 60,Common,1,Undead Fortitude,Tales from the Yawning Portal,NA,Wizards of the Coast,Other,0,0
Drider,Large,Monstrosity,CE,19,123,30;climb 30,16,16,18,13,14,12,None,Perception;Stealth,None,Darkvision 120,Elvish;Undercommon,6,Fey Ancestry;Innate Spellcasting;Spider Climb;Sunlight Sensitivity;Web Walker,Monster Manual,NA,Wizards of the Coast,Other,0,0
Drow,Medium,Humanoid,NE,15,13,30,10,14,10,11,11,12,None,Perception;Stealth,None,Darkvision 120,Elvish;Undercommon,0.25,Fey Ancestry;Innate Spellcasting;Sunlight Sensitivity,Monster Manual,NA,Wizards of the Coast,Other,0,0
Drow Arachnomancer,Medium,Humanoid (Elf),CE,15,162,30;climb 30,11,17,14,19,14,16,CON;INT;CHA,Arcana;Nature;Perception;Stealth,Poisonres,Blindsight 10;darkvision 120,Elvish;Undercommon;spiders,13,Change Shape;Fey Ancestry;Innate Spellcasting;Normal Spellcasting;Spider Climb;Sunlight Sensitivity,Mordenkainen's Tome of Foes,NA,Wizards of the Coast,Other,0,0
Drow Elite Warrior,Medium,Humanoid,NE,18,71,30,13,18,14,11,13,12,DEX;CON;WIS,Perception;Stealth,None,Darkvision 120,Elvish;Undercommon,5,Fey Ancestry;Innate Spellcasting;Sunlight Sensitivity,Monster Manual,NA,Wizards of the Coast,Other,0,0
Drow Favored Consort,Medium,Humanoid (Elf),NE,15,225,30,15,20,16,18,15,18,DEX;CON;CHA,Acrobatics;Athletics;Perception;Stealth,None,Darkvision 120,Elvish;Undercommon,18,Fey Ancestry;Innate Spellcasting;Normal Spellcasting;Sunlight Sensitivity;War Magic,Mordenkainen's Tome of Foes,NA,Wizards of the Coast,Other,0,0
Drow House Captain,Medium,Humanoid (Elf),NE,16,162,30,14,19,15,12,14,13,DEX;CON;WIS,Perception;Stealth,None,Darkvision 120,Elvish;Undercommon,9,Battle Command;Fey Ancestry;Innate Spellcasting;Sunlight Sensitivity,Mordenkainen's Tome of Foes,NA,Wizards of the Coast,Other,0,0
Drow Inquisitor,Medium,Humanoid (Elf),NE,16,143,30,11,15,14,16,21,20,CON;WIS;CHA,Insight;Perception;Religion;Stealth,Frightenedimmu,Darkvision 120,Elivhs;Undercommon,14,Discern Lie;Fey Ancestry;Innate Spellcasting;Magic Resistance;Spellcasting;Sunlight Sensitivity,Mordenkainen's Tome of Foes,NA,Wizards of the Coast,Other,0,0
Drow Mage,Medium,Humanoid,NE,12,45,30,9,14,10,17,13,12,None,Arcana;Deception;Perception;Stealth,None,Darkvision 120,Elvish;Undercommon,7,Fey Ancestry;Innate Spellcasting;Normal Spellcasting;Sunlight Sensitivity,Monster Manual,NA,Wizards of the Coast,Other,0,0
Drow Matron Mother,Medium,Humanoid (Elf),NE,17,262,30,12,18,16,17,21,22,CON;WIS;CHA,Insight;Perception;Religion;Stealth,Charmedimmu;frightenedimmu;poisonedimmu,Darkvision 120,Elvish;Undercommon,20,Fey Ancestry;Innate Spellcasting;Lolth's Fickle Favor;Magic Resistance;Normal Spellcasting;Sunlight Sensitivity,Mordenkainen's Tome of Foes,NA,Wizards of the Coast,Other,0,0
Drow Priestess of Lolth,Medium,Humanoid,NE,16,71,30,10,14,12,13,17,18,CON;WIS;CHA,Insight;Perception;Religion;Stealth,None,Darkvision 120,Elvish;Undercommon,8,Fey Ancestry;Innate Spellcasting;Normal Spellcasting;Sunlight Sensitivity,Monster Manual,NA,Wizards of the Coast,Other,0,0
Drow Shadowblade,Medium,Humanoid (Elf),NE,17,150,30,14,21,16,12,14,13,DEX;CON;WIS,Perception;Stealth,None,Darkvision 120,Elvish;Undercommon,11,Fey Ancestry;Innate Spellcasting;Shadow Step;Sunlight Sensitivity,Mordenkainen's Tome of Foes,NA,Wizards of the Coast,Other,0,0
Dryad,Medium,Fey,N,11,22,30,1,12,11,14,15,18,None,Perception;Stealth,None,Darkvision 60,Elvish;Sylvan,1,Innate Spellcasting;Magic Resistance;Speak with Beasts;Speak with Plants;Tree Stride,Monster Manual,NA,Wizards of the Coast,Feywild,0,0
Duergar,Medium,Humanoid,LE,16,26,25,14,11,14,11,10,9,None,None,Poisonres,Darkvision 120,Dwarvish;Undercommon,1,Duergar Resilience;Sunlight Sensitivity,Monster Manual,NA,Wizards of the Coast,Other,0,0
Duergar Darkhaft,Medium,Humanoid (Dwarf),LE,16,26,25,14,11,14,11,10,9,None,None,Poisonres,Darkvision 120,Dwarvish;Undercommon,2,Duergar Resilience;Sunlight Sensitivity;Normal Spellcasting (Psionics),Out of the Abyss,NA,Wizards of the Coast,Other,0,0
Duergar Despot,Medium,Humanoid (Dwarf),LE,21,119,25,20,5,19,15,14,13,CON;WIS,None,Poisonimmu;charmedimmu;exhaustionimmu;frightenedimmu;paralyzedimmu;poisonedimmu,Darkvision 120,Dwarvish;Undercommon,12,Innate Spellcasting;Magic Resistance;Psychic Engine;Sunlight Sensitivity,Mordenkainen's Tome of Foes,NA,Wizards of the Coast,Other,0,0
Duergar Hammerer,Medium,Humanoid (Dwarf),LE,17,33,20,17,7,12,5,5,5,None,None,Poisonimmu;charmedimmu;exhaustionimmu;frightenedimmu;paralyzedimmu;petrifiedimmu;poisonedimmu,Darkvision 60,Dwarvish,2,Engine of Pain;Siege Monster,Mordenkainen's Tome of Foes,NA,Wizards of the Coast,Other,0,0
Duergar Kavalrachni,Medium,Humanoid (Dwarf),LE,16,26,25,14,11,14,11,10,9,None,None,Poisonres,Darkvision 120,Dwarvish;Undercommon,2,Cavalry Training;Duergar Resilience;Sunlight Sensitivity,Mordenkainen's Tome of Foes,NA,Wizards of the Coast,Other,0,0
Duergar Keeper of the Flame,Medium,Humanoid (Dwarf),LE,16,26,25,14,11,14,11,10,9,None,None,Poisonres,Darkvision 120,Dwarvish;Undercommon,2,Duergar Resilience;Innate Spellcasting (Psionics);Normal Spellcasting,Out of the Abyss,NA,Wizards of the Coast,Other,0,0
Duergar Mind Master,Medium,Humanoid (Dwarf),LE,14,39,25,11,17,14,15,10,12,WIS,Perception;Stealth,Poisonres,Darkvision 120;truesight 30,Dwarvish;Undercommon,2,Duergar Resilience;Sunlight Sensitivity,Mordenkainen's Tome of Foes,NA,Wizards of the Coast,Other,0,0
Duergar Screamer,Medium,Construct,LE,15,38,20,18,7,12,5,5,5,None,None,Poisonimmu;charmedimmu;exhaustionimmu;frightenedimmu;paralyzedimmu;petrifiedimmu;poisonedimmu,Darkvision 60,Dwarvish,3,Engine of Pain,Mordenkainen's Tome of Foes,NA,Wizards of the Coast,Other,0,0
Duergar Soulblade,Medium,Humanoid (Dwarf),LE,14,18,25,11,16,10,11,10,12,None,None,Poisonres,Darkvision 120,Dwarvish;Undercommon,1,Duergar Resilience;Create Soulblade;Innate Spellcasting;Sunlight Sensitivity,Mordenkainen's Tome of Foes,NA,Wizards of the Coast,Other,0,0
Duergar Spy,Medium,Humanoid (Dwarf),LE,15,33,25,10,16,12,12,10,13,None,Deception;Insight;Investigation;Perception;Persuasion;Sleight of Hand;Stealth,Poisonres,Darkvision 120,Dwarvish;Undercommon,2,Cunning Action;Duergar Resilience;Sneak Attack;Sunlight Sensitivity,Tales from the Yawning Portal,NA,Wizards of the Coast,Other,0,0
Duergar Stone Guard,Medium,Humanoid (Dwarf),LE,18,39,25,18,11,14,11,10,9,None,None,Poisonres,Darkvision 120,Dwarvish;Undercommon,2,Duergar Resilience;Phalanx Formation;Sunlight Sensitivity,Mordenkainen's Tome of Foes,NA,Wizards of the Coast,Other,0,0
Duergar Warlord,Medium,Humanoid (Dwarf),LE,20,75,25,18,11,17,12,12,14,None,None,Poisonres,Darkvision 120,Dwarvish;Undercommon,6,Duergar Resilience;Sunlight Sensitivity,Mordenkainen's Tome of Foes,NA,Wizards of the Coast,Other,0,0
Duergar Xarrorn,Medium,Humanoid (Dwarf),LE,18,26,25,16,11,14,11,10,9,None,None,Poisonres,Darkvision 120,Dwarvish;Undercommon,2,Duergar Resilience;Sunlight Sensitivity,Mordenkainen's Tome of Foes,NA,Wizards of the Coast,Other,0,0
Eblis,Large,Monstrosity,NE,13,26,30;fly 40,11,16,12,12,14,11,None,None,None,Normal,Auran;Common,1,Innate Spellcasting,Tomb of Annihilation,NA,Wizards of the Coast,Other,1,0
Eidolon,Medium,Undead,ANY,9,63,fly 40,7,8,9,14,19,16,WIS,Perception,Acidres;fireres;lightningres;thunderres;nonmagicalres;coldimmu;necroticimmu;poisonimmu;charmedimmu;exhaustionimmu;frightenedimmu;grappledimmu;paralyzedimmu;petrifiedimmu;poisonedimmu;proneimmu;restrainedimmu,Darkvision 60,Any,12,Incorporeal Movement;Sacred Animation;Turn Resistance,Mordenkainen's Tome of Foes,NA,Wizards of the Coast,Other,1,0
Eidolon;Sacred Statue,Large,Construct,ANY,19,95,25,19,8,19,14,19,16,WIS,None,Acidres;fireres;lightningres;nonmagicalres;coldimmu;necroticimmu;poisonimmu;charmedimmu;exhaustionimmu;frightenedimmu;paralyzedimmu;petrifiedimmu;poisonedimmu,Darkvision 60,Any,12,False Appearance;Ghostly Inhabitant;Inert,Mordenkainen's Tome of Foes,NA,Wizards of the Coast,Other,0,0
Eladrin;Autumn,Medium,Fey,CN,19,127,30,12,16,16,14,17,18,None,Insight;Medicine,Nonmagicalres,Darkvision 60,Common;Elvish;Sylvan,10,Enchanting Presence;Fey Step;Innate Spellcasting;Magic Resistance,Mordenkainen's Tome of Foes,NA,Wizards of the Coast,Feywild,0,0
Eladrin;Spring,Medium,Fey,CN,19,127,30,14,16,16,18,11,18,None,Deception;Persuasion,Nonmagicalres,Darkvision 60,Common;Elvish;Sylvan,10,Fey Step;Innate Spellcasting;Joyful Presence;Magic Resistance,Mordenkainen's Tome of Foes,NA,Wizards of the Coast,Feywild,0,0
Eladrin;Summer,Medium,Fey,CN,19,127,50,19,21,16,14,12,18,None,Athletics;Intimidation,Nonmagicalres,Darkvision 60,Common;Elvish;Sylvan,10,Fearsome Presence;Fey Step;Magic Resistance,Mordenkainen's Tome of Foes,NA,Wizards of the Coast,Feywild,0,0
Eladrin;Winter,Medium,Fey,CN,19,127,30,11,10,16,18,17,13,None,None,Coldres;nonmagicalres,Darkvision 60,Common;Elvish;Sylvan,10,Fey Step;Innate Spellcasting;Magic Resistance;Sorrowful Presence,Mordenkainen's Tome of Foes,NA,Wizards of the Coast,Feywild,0,0
Elder Elemental;Elder Tempest,Gargantuan,Elemental,N,19,264,fly 120,23,28,23,2,21,18,WIS;CHA,None,Nonmagicalres;lightningimmu;poisonimmu;thunderimmu;exhaustionimmu;grappledimmu;paralyzedimmu;petrifiedimmu;poisonedimmu;proneimmu;restrainedimmu;stunnedimmu,Darkvision 60,None,23,Air Form;Flyby;Legendary;Living Storm;Siege Monster,Mordenkainen's Tome of Foes,NA,Wizards of the Coast,Elemental Plane,1,0
Elder Elemental;Leviathan,Gargantuan,Elemental,N,17,328,40;swim 120,30,24,30,2,18,17,WIS;CHA,None,Nonmagicalres;acidimmu;poisonimmu;exhaustionimmu;grappledimmu;paralyzedimmu;petrifiedimmu;poisonedimmu;proneimmu;restrainedimmu;stunnedimmu,Darkvision 60,None,20,Legendary;Partial Freeze;Siege Monster;Water Form,Mordenkainen's Tome of Foes,NA,Wizards of the Coast,Elemental Plane,0,1
Elder Elemental;Phoenix,Gargantuan,Elemental,N,18,175,20;fly 120,19,26,25,2,21,18,WIS;CHA,None,Nonmagicalres;fireimmu;poisonimmu;exhaustionimmu;grappledimmu;paralyzedimmu;petrifiedimmu;poisonedimmu;proneimmu;restrainedimmu;stunnedimmu,Darkvision 60,None,16,Fiery Death and Rebirth;Fire Form;Flyby;Illumination;Legendary;Siege Monster,Mordenkainen's Tome of Foes,NA,Wizards of the Coast,Elemental Plane,1,0
Elder Elemental;Zaratan,Gargantuan,Elemental,N,21,307,40;swim 40,30,10,30,2,21,18,WIS;CHA,None,Thunderweak;coldres;fireres;lightningres;nonmagicalres;poisonimmu;exhaustionimmu;paralyzedimmu;petrifiedimmu;poisonedimmu;stunnedimmu,Darkvision 60;tremorsense 60,None,22,Earth-Shaking Movement;Legendary;Magic Weapons;Siege Monster,Mordenkainen's Tome of Foes,NA,Wizards of the Coast,Elemental Plane,0,1
Elemental Myrmidon;Air,Medium,Elemental,N,18,117,30;fly 30,18,14,14,9,10,10,None,None,Lightningres;thunderres;nonmagicalres;poisonimmu;paralyzedimmu;petrifiedimmu;poisonedimmu;proneimmu,Darkvision 60,Auran;Any,7,Magic Weapons,Mordenkainen's Tome of Foes,NA,Wizards of the Coast,Elemental Plane,1,0
